"","AKT (pS473)","AKT(pT308)","Bcl-2","Bcl-2 (pS70)","Bcl-xL","Bim","Btk (pY223)/Itk (pY180)","Btk (pY551) & p-Itk (pY511)","IgG Kappa (isotype control)","Mcl-1","MEK1 (pS218)/MEK2 (pS222)","MEK1 (pS298)","mTOR (pS2448)","NF-κB p65 (pS529)","p38 MAPK (pT180/182)","p44/42 MAPK (pT202/Y204)","p53(pS37)","p90RSK (pS380)","PLC-γ2 (pY759)","Rb (pS807/S811)","S6-ribosomal protein (pS235/236)","SAPK/JNK (pT183/Y185)","STAT1 (pS727)","STAT1 (pY701)","STAT3 (pS727)","STAT3 (pY705)","STAT5 (pY694)","STAT6 (pY641)","SYK (pY525/526)","TBK1 (pS172)","Tyrosine (pY100)","ZAP70/Syk (pY319/Y352)"
"147",1360.021116927,565.674247149391,7907.89739654441,742.992221089475,9508.99313448278,6821.92796688181,1755.94596370307,519.633366998525,498.789051113656,702.779553847214,518.053465574979,535.016965980845,613.992406390026,492.54297567887,567.299936671655,751.522088483889,516.354827602422,838.587279081797,536.162239681161,610.902870439243,839.068363708766,1969.86379380224,503.886546518598,526.401556905554,597.417238865054,503.621045743685,639.416356210417,498.856270249175,759.505944428341,590.091582758366,782.238692602398,543.62712953556
"148",1964.56982815083,850.365522828206,6491.01054216843,878.170157756072,19889.9222538731,8839.01337910519,3599.21684683728,774.441754569205,723.830586237981,1136.56507251269,742.969171489186,815.004112208297,874.191606489071,683.512944988668,799.245666452801,1259.47916511923,745.868299141165,1281.26450150853,770.145349723502,997.727944956469,978.436884157355,2801.02540240452,716.959011718915,759.750158559581,846.158693459845,741.644974844669,930.146552367133,724.087322728361,1205.93847739944,815.135352669712,1752.1296271849,813.92399431118
"149",3339.171943714,1648.1019986254,17770.0784959129,2112.2621226826,14947.0828893114,10289.2832062743,10720.4596866215,1579.31412209334,1393.03883119955,1626.83112113588,1532.26726769623,2018.23345228259,1913.32722345516,1538.03552240241,1387.02569052592,1883.02975053665,1575.04455664249,1877.88858774785,1885.864925792,1648.95772112706,4583.70763492227,3477.66218968429,1465.14466890811,1467.4179458251,1791.96649102225,1434.8408886455,1762.06887712039,1454.64900798177,1915.92426031308,1882.51286042512,4271.63363309489,1542.32526933648
"151",2442.08266795453,1928.00262990087,10609.9685392054,1876.30710772383,4117.38723618434,4587.29178907791,4758.70606089904,1846.94369526755,1854.4480548989,1997.70671810811,1834.20967464367,1838.76234530864,2073.99934375589,1851.03172533629,1838.01848236808,2087.53188211711,1863.36464732121,1928.20252297051,1933.53819599072,1935.07297979172,6670.22254939256,2613.67100057691,1854.52537145753,1816.02318041222,1997.3255604117,1806.17476665622,1858.22421732888,1905.28200674546,1953.27179030704,1928.14958411606,2628.27626878186,1874.4179093611
"152",1882.76870572493,839.350184091503,15444.0904690498,1009.53682088698,5874.64066230295,6520.34948935615,9394.33249009803,568.882479170838,517.213801865104,1248.20404834424,640.689350944982,633.116569273415,1158.05937968632,700.30241015286,655.249698158223,886.087808192811,607.881063210836,1078.08935392494,915.756209396163,712.160938754462,6197.99303668636,964.05885993291,532.662310006633,576.594956631103,876.138703458834,520.806453857417,667.268490293995,514.121766884187,1056.74247005136,812.851161385714,3388.55876072579,650.148143155286
"153",2157.75267376556,1040.55109430345,28558.9125906593,2031.73326446158,7378.22645683893,13703.1280497979,2828.8953734782,782.392026323481,759.700675532796,1685.32878657132,832.107990460591,1120.02838606599,1280.32491841885,963.652943192247,1144.14788232606,NA,NA,1282.69234845603,869.695631325894,878.71183226637,2504.2277986925,2101.51157747103,801.261858656187,1001.34252834679,1353.6283886094,762.093197527423,929.379410039251,701.07236973518,1424.82344127204,1245.57455657715,1371.14086820913,833.123219823504
"154",1996.13097733216,1631.33900665675,8765.87453037084,1898.97831781004,5117.90294537997,7190.53478325344,4242.23465757954,1481.25883288912,1480.53000348208,1787.69314359937,1492.10006037354,1561.59627444858,1720.61960508454,1524.68021237434,1717.49081758633,1750.90419682011,1523.06637623038,1943.83954792632,1581.31208993909,1541.86750098427,3419.24234317933,2394.10136607155,1483.05189331415,1508.44348701642,1768.78846196884,1486.90143902982,1605.3758501333,1464.67730906228,1809.72323831184,1564.93591033949,2352.35851180519,1557.50196025255
"155",1802.38292028385,1309.78981447093,8129.50932117662,1222.68323039752,6111.24835466566,7943.23536431753,3329.12316778741,1103.5782868941,1127.48714983482,1698.96569456485,1142.14007642575,1356.81543487899,1377.35103915844,NA,1160.94936814479,1260.74982862921,1228.43283667822,1307.21537757054,1171.41778628664,1229.29088547854,3801.30797051622,2312.79295304478,1104.46884037056,1161.97380827878,1276.19697985775,1125.31866541985,1229.0046630516,1111.99629938249,1417.97025092993,1172.4826769153,1733.16566608688,1185.01549994528
"156",1265.90578020707,594.699276246678,10775.4514336716,1021.49324287758,10077.6286412211,6987.24422743571,1103.81377682124,490.169771208625,461.797422541529,794.691648388859,481.936213017555,627.253995090847,563.396507494479,478.813616699122,581.284455376864,864.698479438615,499.240269958092,1041.6472373509,487.690539052619,553.701235031005,838.265965068052,2025.14042557141,474.533200512895,524.782372522954,613.369817487899,461.924828496885,622.121289636153,475.27283072759,712.296082117402,592.03565514648,630.949080685242,493.156664861532
"157",1785.92140625309,796.292162207386,7442.42467859438,956.853109550509,14055.8190480862,6591.50206144873,5381.17035163626,701.067705005402,673.191455308735,1147.82997064576,686.477615714929,736.498466099823,818.587006826333,646.08492276009,765.658189172554,1200.1647883747,702.726745877967,1352.32130433238,861.886211170315,861.277388269342,2148.43000341341,2629.93378728447,678.394971520987,735.810801576938,895.587862314474,672.088514733094,896.055269918803,682.138359507433,1127.03181318843,800.590221531566,1849.43715194416,784.536876723711
"160",4671.190559,4149.226001,12723.94182,4312.11877,12431.13902,9265.507647,5931.501755,3949.392883,3914.778515,4266.630467,4000.118319,4148.789897,4258.388391,4007.571483,4093.572505,4333.276445,4089.940496,4940.795119,4029.345907,4145.052012,7659.062699,5321.769928,3946.661577,4068.807906,4132.333273,3952.518614,4106.168785,3949.444436,4210.097686,4147.179434,4348.960161,4008.641523
"161",755.711963911059,413.293704086805,5089.66996272594,620.085030094514,7184.64638834581,3614.69865321629,1717.18137724847,313.416106065415,286.045331574819,603.819630460685,317.876529474048,380.046323675584,444.091454925384,322.539392086412,388.028482402295,562.52616789118,350.727689029097,700.693261458898,351.650236720725,408.556175463677,957.296757316336,1144.98170955909,282.599600758532,300.066056384171,483.717429057983,287.116138420013,402.215407432213,284.14436153453,511.664547439424,398.237692030535,544.117302675832,328.218932762031
"162",1464.25268099165,720.750653018549,8500.77118478452,797.448834886867,3148.93629899312,6638.30473614027,5128.75738923099,666.298490502426,612.621010893738,866.544799059649,628.477462621887,658.246017436793,913.77152218548,654.32614953542,646.735269497614,939.306697322298,680.602949360066,781.635774339382,819.888321490206,780.231649213557,3427.40131768148,1519.92952461984,654.233905298133,617.732177208571,752.649377504852,617.108176111908,728.745604207287,694.30727290151,834.325692484375,710.514367917276,1899.03426757705,746.383377586388
