"","AKT (pS473)","AKT(pT308)","Bcl-2","Bcl-2 (pS70)","Bcl-xL","Bim","Btk (pY223)/Itk (pY180)","Btk (pY551) & p-Itk (pY511)","Mcl-1","MEK1 (pS218)/MEK2 (pS222)","MEK1 (pS298)","mTOR (pS2448)","NF-κB p65 (pS529)","p38 MAPK (pT180/182)","p44/42 MAPK (pT202/Y204)","p53(pS37)","p90RSK (pS380)","PLC-γ2 (pY759)","Rb (pS807/S811)","S6-ribosomal protein (pS235/236)","SAPK/JNK (pT183/Y185)","STAT1 (pS727)","STAT1 (pY701)","STAT3 (pS727)","STAT3 (pY705)","STAT5 (pY694)","STAT6 (pY641)","SYK (pY525/526)","TBK1 (pS172)","Tyrosine (pY100)","ZAP70/Syk (pY319/Y352)"
"012",0.740507310232656,-0.552051739679491,2.28547720302361,0.043825651864368,1.91383659997282,1.98396732486516,2.00677150897225,-0.805084990109458,0.0980219230283775,NA,-0.671726987801501,-0.219411883115156,-0.470330684753927,-0.551461068412092,-0.287162571479624,-0.839086668441243,0.047077212147108,-0.468670271687827,-0.528298782153178,0.744674341296064,0.117181761105752,-1.07986618514826,-1.02974016460226,-0.118070321235306,-1.15561052637074,-0.349089058727169,-1.26850991553324,0.260664053768662,-0.319662427666356,1.27731789749067,-0.805488540850675
"014",0.535898684277102,-0.486658498824785,2.27668263879904,-0.137743478413631,1.77935337418529,2.08744067127176,2.08873616457128,-0.762029917864149,0.0718703423450403,NA,-0.683221363328434,-0.164439235634707,-0.456809156889732,-0.752160278202037,-0.440591656825822,-0.793051784825946,0.0710665437448583,-0.270627763453906,-0.426982818245811,0.994845661700871,-0.101733951074174,-0.974682678186147,-0.934159342433607,-0.424712613021638,-1.01809692921519,-0.417360066227688,-1.10384433130337,0.134116583066633,-0.415003479837518,1.49444862029372,-0.770549940447306
"015",0.384817757381951,-0.47563664903083,2.27764554159673,-0.485498594228251,2.35414899934466,1.71291981435757,2.34417935252439,-0.684659687385876,0.0301366463505413,-0.722334151738594,-0.523196900763305,-0.367727504781899,-0.578319352109668,-0.656186547828938,-0.0631691211635451,-0.689857694146136,-0.306335788492159,-0.321514380647567,-0.521435443222057,1.46651456532583,-0.280340699764605,-0.789743983243704,-0.681005545349458,-0.382366995185653,-0.764709982953702,-0.501742098732249,-0.789743983243704,0.0839811932983256,-0.604474279515629,1.18367109769774,-0.648015584350226
"016",0.309547458192779,-0.575417392827531,2.55577452981261,-0.392178548236058,2.39468954737412,1.91321274304312,2.31312638059949,-0.669470573931723,0.0468536581601811,-0.714864459188161,-0.557149710800014,-0.337408946388594,-0.624735170511694,-0.616694427108086,-0.0908404963369892,-0.656603473450408,-0.266385325615114,-0.36635970128572,-0.523648628720892,0.823774470107595,-0.278835749595563,-0.734908650487292,-0.684778101117925,-0.310611784333245,-0.730578044180713,-0.471190427087207,-0.734908650487292,0.0708100738403912,-0.602511105442255,1.0957300947528,-0.583439588750603
"018",0.302283228345108,-0.57480602328141,2.28486642976804,-0.582683213111683,2.25977601321989,1.6975622750597,2.71571024199376,-0.659083534545273,-0.199209960865905,-0.687105581351211,-0.521561507786636,-0.376915555650276,-0.644763282009983,-0.628153284406603,-0.130097206223895,-0.687105581351211,-0.282308750909077,-0.013491050389931,-0.451675300441375,0.878689236986457,-0.320980685098763,-0.687105581351211,-0.687105581351211,-0.444591781882797,-0.687105581351211,-0.468303847046392,-0.687105581351211,0.074746005010408,-0.641051021480147,1.36081660255152,-0.512140539697462
"019",0.307398070412761,-0.580786454475328,2.13014641210402,-0.484452934845696,3.19762276697692,2.13001133309998,1.3281306341435,-0.573750829099674,-0.135872974573014,-0.649445778156107,-0.541964419105078,-0.332675134465598,-0.591907586769445,-0.534682375922171,-0.203930510730357,-0.714749295310668,-0.442776932314072,-0.471687298762394,-0.491450097090989,1.29778041658105,0.124374186781802,-0.587394718992514,-0.62057903721979,-0.437151928297044,-0.595293806267097,-0.567752135022684,-0.562486445568731,-0.260340424793192,-0.569722915434835,0.974831147348917,-0.539440934232464
"020",0.428708665455824,-0.58987294128741,1.97077280810794,-0.487499802170439,3.10552417875273,2.20694408574845,1.52122031995748,-0.59805960063189,-0.0893579975842407,-0.669750236681923,-0.554424692801796,-0.353984463365588,-0.609243924592446,-0.556953609215305,-0.307442097912161,-0.747328470699,-0.406719055496711,-0.408161297877528,-0.543977843586492,1.21576593124991,0.151667889800726,-0.598097460077503,-0.646403288563896,-0.386027752841578,-0.614700480315435,-0.581044087077905,-0.586503131976034,-0.224260948426995,-0.601461837414852,1.07219315336543,-0.511522011841357
"021",0.448660822083721,-0.426661596024848,2.1897245991368,-0.431220203191769,3.51547604384705,2.34814800804107,0.554094268735793,-0.582745569459233,-0.180273743423388,-0.633934113406287,-0.39164507479263,-0.287458249219117,-0.554519067251527,-0.430448722263792,-0.136341883576297,-0.548413734397362,-0.293996229650535,-0.550871982942239,-0.5211825661104,1.10479658175154,0.314891106480272,-0.583247264987553,-0.619002469948163,-0.412304783205021,-0.578374771323544,-0.566151493474902,-0.544525927060403,-0.306422020395586,-0.569801370237743,0.246989983553323,-0.573238577287239
"022",0.320689760274949,-0.554731566505895,2.74198776028148,-0.313030231620391,2.198636017659,1.85273272944286,2.26024248120372,-0.689936620057597,-0.132248876213539,-0.731162512948274,-0.610005390332123,-0.370106073365281,-0.49681430493563,-0.597561402953995,-0.0773437681448526,-0.710647240560432,-0.200617165476264,-0.247895409241843,-0.526279051481306,1.2151505358859,-0.303200205412878,-0.731162512948274,-0.650682733870023,-0.334660668327137,-0.731162512948274,-0.511563868005334,-0.731162512948274,-0.000653236009974586,-0.635835816386233,0.90729669314139,-0.608272297195475
"025",0.421859191566583,-0.310172249405665,2.26622798631869,-0.640828783361287,1.90500501353378,1.85616864663831,2.686590438253,-0.688226215978057,0.202964865997664,-0.63668053244009,-0.448413819134293,-0.108971157707536,-0.339541727835627,-0.618672731283,-0.417657026099898,-0.597955829722209,-0.395819263553083,-0.12247519804743,-0.631959664062519,0.600156955659761,-0.271182368542739,-1.00699388807868,-0.890111795272029,0.447504021656944,-1.04256305425645,-0.535449534761877,-1.04256305425645,0.0239249435632813,-0.277820275810677,1.3033251640073,-0.689669057585705
